ID;KSK;STM SG1;STM PAST SG3;STM POTN SG3;STM COND SG3;STM IMPV;STM IMPVSG3;STM PCP2;STM PSSPRES;STM PSSPAST;STM PSSPCP2
kokea;V13;koe.n;kok.i.;koke.ne.e;kok.isi.;koe.;koke.koon;koke.nut;koe.taan;koe.ttiin;koe.ttu
TUNTEA;V14;tunne.n;tuns.i.;tunte.ne.e;tunt.isi.;tunne.;tunte.koon;tunte.nut;tunne.taan;tunne.ttiin;tunne.ttu
POTEA;V15;pode.n;pot.i. (pos.i.);pote.ne.e;pot.isi.;pode.;pote.koon;pote.nut;pode.taan;pode.ttiin;pode.ttu
LÄHTEÄ;V16;lähde.n;läht.i. läks.i.;lähte.ne.e;läht.isi. läks.isi.;lähde.;lähte.köön;lähte.nyt;lähde.tään;lähde.ttiin;lähde.tty
SALLIA;V17;salli.n;sall.i.;salli.ne.e;sall.isi.;salli.;salli.koon;salli.nut;salli.taan;salli.ttiin;salli.ttu
onkia;V17;ongi.n;onk.i.;onki.ne.e;onk.isi.;ongi.;onki.koon;onki.nut;ongi.taan;ongi.ttiin;ongi.ttu
NAIDA;V18;nai.n;na.i.;nai.ne.e;na.isi.;nai.;nai.koon;nai.nut;nai.daan;nai.tiin;nai.tu
SAADA;V19;saa.n;sa.i.;saa.ne.e;sa.isi.;saa.;saa.koon;saa.nut;saa.daan;saa.tiin;saa.tu
MYYDÄ;V20;myy.n;my.i.;myy.ne.e;my.isi.;myy.;myy.köön;myy.nyt;myy.dään;myy.tiin;myy.ty
JUODA;V21;juo.n;jo.i.;juo.ne.e;jo.isi.;juo.;juo.koon;juo.nut;juo.daan;juo.tiin;juo.tu
VIEDÄ;V22;vie.n;ve.i.;vie.ne.e;ve.isi.;vie.;vie.köön;vie.nyt;vie.dään;vie.tiin;vie.ty
KÄYDÄ;V23;käØy.n;kävØ.i.;käy.ne.e;käv.isi.;käy.;käy.köön;käy.nyt;käy.dään;käy.tiin;käy.ty
NUOLAISTA;V24;nuolaise.n;nuolais.i.;nuolais.se.e;nuolais.isi.;nuolaise.;nuolais.koon;nuolais.sut;nuolais.taan;nuolais.tiin;nuolais.tu
TULLA;V25;tule.n;tul.i.;tul.le.e;tul.isi.;tule.;tul.koon;tul.lut;tul.laan;tul.tiin;tul.tu
PURRA;V26;pure.n;pur.i.;pur.re.e;pur.isi.;pure.;pur.koon;pur.rut;pur.raan;pur.tiin;pur.tu
MENNÄ;V27;mene.n;men.i.;men.ne.e;men.isi.;mene.;men.köön;men.nyt;men.nään;men.tiin;men.ty
