CONT;ICLASS;MPHON;COMMENT
ale-ne/v;V34*;<Co* Vo+ (Sy1) Gwj e t:0 [a:0|ä:0]>;KYETÄ ale-ne/v 
sala-A/v;V35;<Co* Vo+ (Sy1)* Co* [a|ä] t:0 [a:0|ä:0]>;SALATA sala-V/v 
sala-A/v;V35*;<Co* Vo+ (Sy1)* Gw [a|ä] t:0 [a:0|ä:0]>;AIDATA sala-V/v 
sala-A/v;V35*;<Co* Vo+ (Sy1)* Gwj ä t:0 ä:0>;PELJÄTÄ sala-V/v 
katke-A/v;V36;<Co* [Vo|VV] Co+ e t:0 [a:0|ä:0]>;KATKETA katke-A/v 
katke-A/v;V36*;<Co* [Vo|VV] [Gw|h j:{kj}|l j:{kj}|r j:{kj}] e t:0 [a:0|ä:0]>;NOETA katke-A/v
selvi-A/v;V37;<Co* [Vo|VV] Co+ i t:0 [ä:0|a:0]>;SELVITÄ selvi-A/v 
selvi-A/v;V37*;<Co [Vo|VV] Gw i t:0 [ä:0|a:0]>;SIITÄ selvi-A/v 
koho-A/v;V38;<Co* [Vo|VV] Co+ [o t:0 a:0|ö t:0 ä:0]>;KOHOTA JYMYTÄ koho-A/v 
koho-A/v;V38*;<Co* [Vo|VV] Gw [o t:0 a:0|ö t:0 ä:0]>;TAUOTA koho-A/v 
halu-A/v;V39;<Co* [Vo|VV] Co+ [u t:0 a:0|y t:0 ä:0]>;HALUTA halu-A/v 
halu-A/v;V39*;<Co* [Vo|VV] Gw [u t:0 a:0|y t:0 ä:0]>;RYÖPYTÄ halu-A/v 
!pala-V/v;V40;<(Co) [a|ä] Co [a t:0 a:0|ä t:0 ä:0]>;PALATA-PALAJAN pala-V/v V40 
!pala-V/v;V40;<Co Vo Co [a j:0 a:0 a:0|ä j:0 ä:0 ä:0]>;HUMAJAA-? pala-V/v V40
pala-V/v;V40;<a v a t:0 a:0>;AVATA-AVAJAN pala-V/v V40*
pala-V/v;V40;<h a l a t:0 a:0>;HALATA-HALAJAN pala-V/v V40*
pala-V/v;V40;<h e r ä t:0 a:0>;PERÄTÄ-HERÄJÄN pala-V/v V40*
pala-V/v;V40*;<h y l [0:{kØ}|j:{kj}] ä t:0 ä:0>;HYLJÄTÄ pala-V/v V40*
pala-V/v;V40*;<k a i v:{pv} a t:0 a:0>;KAIVATA-KAIPAJAN pala-V/v V40*
pala-V/v;V40*;<k o n k:{kØ} a t:0 a:0>;KONKATA-KONKKAJAN pala-V/v V40*
pala-V/v;V40*;<k ä ä p 0:{pØ} ä t:0 ä:0>;KKÄÄPÄTÄ-KÄÄPPÄJÄN pala-V/v V40*
pala-V/v;V40*;<l e v:{pv} ä t:0 ä:0>;LEVÄTÄ-LEPÄJÄN pala-V/v V40*
pala-V/v;V40;palata:pala;PALATA-PALAJAN pala-V/v V40*
pala-V/v;V40;<p a u h a t:0 a:0>;PAUHATA-PAUHAJAN pala-V/v V40*
pala-V/v;V40;<v a r a t:0 a:0>;VARATA-VARAJAN pala-V/v V40*
kih-ise/v;V41;<Co* [a|i|o|u] Co+ i:0 s:0 t:0 [a:0|ä:0]> 5;KIHISTÄ-KIHAJAN kih-ise/v
kih-ise/v;V41*;<Co* [a|i|o|u] Gw i:0 s:0 t:0 [a:0|ä:0]> 5;RAVISTA-RAPAJAN kih-ise/v
öl-ise/v;V41;<Co* [e|y|ä|ö] Co+ i:0 s:0 t:0 ä:0> 5;ÖLISTÄ-ÖLÄJÄN öl-ise/v
rake-nTA/v;V42;<Co* [Vo|VV] (Sy1) n:0 t:0 [a:0 a:0|ä:0 ä:0]>;RAKENTAA rake-nTA/v
rie-ntA/v;V42;<(Co) [Vo|VV] (Sy1) t:0 [a:0|ä:0]>;RIETÄ rie-ntA/v
tai-TA/v;V43;<t a i t:0 a:0 a:0>;TAITAA tai-TA/v
tai-TA/v;V43;<t i e t:0 ä:0 ä:0>;TIETAA tai-TA/v 
antau-TU/v;V44;<Co* [Vo|VV] (Sy1)+ [u t:0 u:0 a:0|y t:0 y:0 ä:0]>;ANTAUTUA antau-TU/v
antau-TU/v;V44;<Co* [Vo|VV] (Sy1)+ [u t:0 a:0|y t:0 ä:0]>;PYSÄYTÄ antau-TU/v
kaa-TA/v;V45;<Co VV t:0 [a:0|ä:0]>;KAATA kaa-TA/v
